"","day","I"
"1",1,272
"2",2,369
"3",3,728
"4",4,1001
"5",5,1414
"6",6,1642
"7",7,2200
"8",8,2461
"9",9,2612
"10",10,2449
"11",11,2633
"12",12,2821
"13",13,3423
"14",14,3513
"15",15,3523
"16",16,3772
"17",17,4393
"18",18,4476
"19",19,4416
"20",20,4384
"21",21,4611
"22",22,4727
"23",23,4615
"24",24,4149
"25",25,4108
"26",26,4584
"27",27,4561
"28",28,4633
"29",29,4802
"30",30,4779
"31",31,4898
"32",32,4548
"33",33,3961
"34",34,4634
"35",35,4176
"36",36,4111
"37",37,4001
"38",38,4277
"39",39,4633
"40",40,4630
"41",41,3691
"42",42,3999
"43",43,3930
"44",44,3961
"45",45,3547
"46",46,3226
"47",47,3157
"48",48,3026
"49",49,2404
"50",50,1976
"51",51,2015
"52",52,1852
"53",53,2134
"54",54,1940
"55",55,2327
"56",56,2678
"57",57,2527
"58",58,2384
"59",59,2323
"60",60,2185
"61",61,2156
"62",62,1464
"63",63,1452
"64",64,1863
"65",65,1885
"66",66,1896
"67",67,1652
"68",68,1711
"69",69,1909
"70",70,1481
"71",71,1125
"72",72,1193
"73",73,1184
"74",74,1188
"75",75,1191
"76",76,1030
"77",77,1248
"78",78,1149
"79",79,1025
"80",80,960
"81",81,1011
"82",82,856
"83",83,914
"84",84,653
"85",85,684
"86",86,558
"87",87,579
"88",88,583
"89",89,623
"90",90,462
"91",91,460
"92",92,477
"93",93,504
"94",94,503
"95",95,578
"96",96,523
"97",97,591
"98",98,577
"99",99,530
"100",100,541
"101",101,588
"102",102,605
"103",103,645
"104",104,665
"105",105,639
"106",106,807
"107",107,753
"108",108,1139
"109",109,1002
"110",110,997
"111",111,1005
"112",112,1132
"113",113,894
"114",114,1124
"115",115,680
"116",116,669
"117",117,608
"118",118,701
"119",119,577
"120",120,596
"121",121,435
"122",122,488
"123",123,424
"124",124,600
"125",125,446
"126",126,476
"127",127,553
"128",128,567
"129",129,772
"130",130,749
"131",131,696
"132",132,735
"133",133,707
"134",134,609
"135",135,963
"136",136,722
"137",137,876
"138",138,807
"139",139,805
"140",140,811
"141",141,826
"142",142,392
"143",143,574
"144",144,444
"145",145,490
"146",146,430
"147",147,436
"148",148,438
"149",149,533
"150",150,282
"151",151,262
"152",152,168
"153",153,170
"154",154,219
"155",155,203
"156",156,240
"157",157,246
"158",158,247
"159",159,250
"160",160,236
"161",161,222
"162",162,222
"163",163,89
"164",164,173
"165",165,168
"166",166,168
"167",167,163
"168",168,138
"169",169,147
"170",170,232
"171",171,207
"172",172,207
"173",173,310
"174",174,308
"175",175,291
"176",176,281
"177",177,207
"178",178,150
"179",179,150
"180",180,60
"181",181,62
"182",182,107
"183",183,109
"184",184,93
"185",185,104
"186",186,107
"187",187,199
"188",188,203
"189",189,152
"190",190,165
"191",191,176
"192",192,157
"193",193,157
"194",194,245
"195",195,350
"196",196,366
"197",197,421
"198",198,410
"199",199,437
"200",200,435
"201",201,235
"202",202,257
"203",203,243
"204",204,264
"205",205,264
"206",206,340
"207",207,339
"208",208,367
"209",209,236
"210",210,242
"211",211,193
"212",212,199
"213",213,143
"214",214,143
"215",215,132
"216",216,162
"217",217,196
"218",218,186
"219",219,180
"220",220,193
"221",221,193
"222",222,181
"223",223,190
"224",224,147
"225",225,146
"226",226,150
"227",227,97
"228",228,97
"229",229,108
"230",230,67
"231",231,63
"232",232,31
"233",233,27
"234",234,35
"235",235,35
"236",236,16
"237",237,21
"238",238,21
"239",239,22
"240",240,22
"241",241,20
"242",242,20
"243",243,27
"244",244,22
"245",245,22
"246",246,24
"247",247,24
"248",248,8
"249",249,8
"250",250,1
"251",251,2
"252",252,2
"253",255,4
"254",256,4
"255",257,4
"256",258,4
"257",259,4
"258",260,4
"259",261,4
"260",262,1
"261",263,1
"262",264,1
